player_id,fpl_element_id,fpl_player_code,web_name,full_name,team_id,position_id,price_m,selected_by_percent,status,total_points,minutes,form,points_per_game
203,203,651426,Canvot,Jaydee Canvot,10,2,4.8,0.2,a,10,360,2.2,2.5
204,204,244723,Mitchell,Tyrick Mitchell,10,2,4.5,6.0,a,24,419,5.8,4.8
205,205,218364,Sosa,Borna Sosa,10,2,4.5,0.0,u,0,0,0.0,0.0
206,206,515621,Chadi Riad,Chadi Riad Dnanou,10,2,4.3,0.0,i,1,72,0.0,1.0
207,207,242313,Mingueza,Oscar Mingueza,10,2,4.4,0.1,a,2,16,0.5,1.0
208,208,232185,Sarr,Ismaïla Sarr,10,3,6.2,0.6,a,1,8,0.2,1.0
209,209,242898,Johnson,Brennan Johnson,11,3,5.9,0.1,a,9,238,2.0,1.8
210,210,496221,Wharton,Adam Wharton,10,3,5.4,0.7,a,12,436,2.0,2.4
211,211,488024,Yeremy,Yéremy Pino Santos,10,3,5.5,0.4,a,14,307,3.2,2.8
212,212,108413,Hughes,Will Hughes,10,3,4.4,7.4,a,2,29,0.5,1.0
213,213,152551,Lerma,Jefferson Lerma Solís,10,3,4.8,0.1,a,1,51,0.2,0.5
214,214,209400,Kamada,Daichi Kamada,10,3,5.0,0.5,a,21,441,4.5,4.2
215,215,489706,Devenny,Justin Devenny,10,3,5.0,0.0,u,0,0,0.0,0.0
216,216,606921,Esse,Romain Esse,10,3,5.0,0.0,u,0,0,0.0,0.0
217,217,536694,M.França,Matheus França de Oliveira,10,3,4.9,0.0,u,0,0,0.0,0.0
218,218,438464,Doucouré,Cheick Doucouré,10,3,4.8,0.0,a,0,0,0.0,0.0
219,219,450542,J.Rak-Sakyi,Jesurun Rak-Sakyi,10,3,4.9,0.0,u,0,0,0.0,0.0
220,220,590014,Cardines,Rio Cardines,10,2,4.5,0.0,u,0,0,0.0,0.0
221,221,672492,Drakes-Thomas,Joél Drakes-Thomas,10,3,4.5,0.1,a,0,0,0.0,0.0
222,222,247412,Strand Larsen,Jørgen Strand Larsen,10,4,6.0,0.6,a,14,298,3.2,2.8
223,223,231747,Mateta,Jean-Philippe Mateta,10,4,6.3,1.3,i,2,62,0.0,2.0
