match_id,season_id,date_id,home_team_id,away_team_id,referee_id,kickoff_time,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,home_points,away_points,total_goals,goal_difference
199,1,20160103,10,8,19,,0,3,A,0,1,A,8,10,4,4,12,15,5,7,3,0,0,0,0,3,3,-3
200,1,20160103,11,31,30,,1,1,D,1,1,D,12,19,3,4,8,11,4,4,1,2,0,0,1,1,2,0
201,1,20160112,1,34,25,,1,3,A,1,0,H,11,10,4,5,8,5,4,7,1,1,0,0,0,3,4,-2
202,1,20160112,3,10,26,,1,0,H,0,0,D,13,9,3,1,15,9,9,0,2,1,0,0,3,0,1,1
203,1,20160112,23,21,27,,3,3,D,1,2,A,14,12,6,4,10,12,5,3,1,3,0,0,1,1,6,0
204,1,20160113,8,33,6,,2,2,D,1,1,D,14,13,2,6,13,8,7,7,3,3,0,0,1,1,4,0
205,1,20160113,18,2,29,,3,3,D,2,2,D,22,14,6,5,9,7,9,3,2,0,0,0,1,1,6,0
206,1,20160113,20,11,37,,0,0,D,0,0,D,22,7,5,2,5,6,12,5,0,1,0,0,1,1,0,0
207,1,20160113,27,32,8,,2,0,H,1,0,H,15,4,7,1,9,11,8,1,1,2,0,0,3,0,2,2
208,1,20160113,28,24,32,,3,1,H,0,0,D,14,5,4,2,5,8,7,3,0,1,0,1,3,0,4,2
209,1,20160113,30,29,14,,2,4,A,2,1,H,10,7,5,5,9,12,8,6,2,0,1,0,0,3,6,-2
210,1,20160113,31,17,22,,0,1,A,0,0,D,21,10,5,2,13,10,16,8,1,0,0,0,0,3,1,-1
211,1,20160116,1,24,39,,3,0,H,1,0,H,15,10,8,3,8,13,5,3,1,1,0,0,3,0,3,3
212,1,20160116,3,17,37,,1,1,D,0,1,A,14,12,5,5,13,15,3,4,3,2,0,0,1,1,2,0
213,1,20160116,8,11,29,,3,3,D,0,0,D,14,9,7,4,12,5,6,4,1,1,0,0,1,1,6,0
